,GEOID,NAME,median_age,percent_65_and_over,poverty_rate,percent_uninsured,percent_bachelors_or_higher,median_household_income
1,1,Alabama,39.8,17.57600434,16.14282611,4.838372048,27.43288727,53913
3,4,Arizona,38.6,18.33324721,12.75389263,5.639804538,32.42941134,69056
4,5,Arkansas,38.5,17.35531782,16.30794396,4.787713768,25.27447991,52528
5,6,California,37.6,15.20095553,12.29941746,3.237250393,36.18678709,84907
6,8,Colorado,37.6,15.14378098,9.713103962,3.948507838,44.41540959,82254
7,9,Connecticut,41.1,18.00456346,10.10106023,2.303030538,42.12756907,83771
8,10,Delaware,41.6,20.08712517,11.59220374,2.659500251,35.6195437,71091
9,11,District of Columbia,34.8,12.77740467,16.47191882,2.205507052,63.04686554,90088
10,12,Florida,42.8,21.11459058,13.12880364,5.732875726,33.16080157,63062
11,13,Georgia,37.5,14.68287707,14.02105664,6.33206927,34.62789824,66559
12,15,Hawaii,40.2,19.60156859,11.1762617,1.933609101,35.3024948,84857
13,16,Idaho,37.3,16.51881744,11.00968007,4.676675489,30.715207,66474
14,17,Illinois,39,16.59877793,12.10381709,3.22298859,37.13997863,72205
15,18,Indiana,38.2,16.39114691,12.15146963,4.071181467,28.87924483,62743
16,19,Iowa,38.5,17.775351,11.11808889,2.513717951,30.54105231,65600
17,20,Kansas,37.3,16.6863969,11.68343011,4.549336158,35.39675192,64124
18,21,Kentucky,39.1,17.04033846,16.48181614,2.972727599,26.98017816,55573
19,22,Louisiana,38,16.57271217,19.62279644,3.654655759,26.44593553,52087
20,23,Maine,44.7,21.65069408,11.51829683,2.697546433,35.98787482,64767
21,24,Maryland,39.3,16.2751339,10.26540017,3.027527891,42.54835886,90203
22,25,Massachusetts,39.9,17.41582308,10.37485867,1.213476898,46.61676213,89645
23,26,Michigan,40.2,18.14066546,13.06262169,2.611132574,31.6724506,63498
24,27,Minnesota,38.8,16.8075425,9.302191138,2.394877518,38.89526416,77720
25,28,Mississippi,38.6,16.84579309,19.36492771,6.102174094,24.77752142,48716
26,29,Missouri,39.2,17.58649665,12.68888887,4.725018875,31.71892811,61847
27,30,Montana,40.1,19.67795949,11.86473482,4.232747215,34.79846314,63249
28,31,Nebraska,37.2,16.44010364,10.75387679,3.723038032,34.44863431,66817
29,32,Nevada,38.7,16.52574705,14.09475325,5.935258721,27.57291276,66274
30,33,New Hampshire,43.1,19.27592096,7.220963576,2.575536792,40.24672772,88465
31,34,New Jersey,40.3,16.87276428,10.23411618,3.19186199,43.10259425,89296
32,35,New Mexico,39.1,18.51700264,18.43455698,4.913329083,30.05275933,53992
33,36,New York,39.8,17.53051145,13.90935892,2.392635015,39.92027937,74314
34,37,North Carolina,39.4,17.02531911,13.4041215,4.894181323,34.91285508,61972
35,38,North Dakota,35.8,15.98042707,11.08329023,4.543401622,31.74158689,66519
36,39,Ohio,39.6,17.84860752,13.39542062,3.495113802,30.7208462,62262
37,40,Oklahoma,37.2,16.18340662,15.64768053,7.089405386,27.92477259,55826
38,41,Oregon,40.1,18.60261813,12.18878724,2.92186696,36.33103294,71562
39,42,Pennsylvania,40.9,19.01336279,12.08327019,2.921354243,34.54490286,68957
40,44,Rhode Island,40.6,18.27301686,11.41108516,2.085048512,36.50150492,74008
41,45,South Carolina,40.2,18.63375014,14.6480411,4.821156278,31.53169827,59318
42,46,South Dakota,37.6,17.63315077,12.28872058,5.458488948,31.66552898,66143
43,47,Tennessee,39.2,17.02246439,13.61772902,4.700870998,30.48023557,59695
44,48,Texas,35.5,13.18212807,14.24825319,9.527454014,33.11594446,66963
45,49,Utah,31.8,11.62740883,8.560334107,5.40324598,36.80743333,79449
46,50,Vermont,42.9,20.62874669,10.25528778,1.697259786,44.43889735,72431
47,51,Virginia,38.8,16.27442037,10.16690776,3.352196424,41.80711976,80963
48,53,Washington,38.2,16.17379268,9.925249607,3.101208835,38.96693093,84247
49,54,West Virginia,42.8,20.68331353,16.82713923,2.961986226,24.11716408,51248
50,55,Wisconsin,40.1,17.88099475,10.79318647,2.872110623,32.54091478,67125
51,56,Wyoming,39,17.93736384,11.35180995,6.659951659,29.24461487,65204
52,2,Alaska,35.6,13.43164004,10.48664214,6.499761831,32.79063113,77845
